idx,sl,tr,tp,os,adx,rsi_max,st2_mult,trades,pnl,dd,sharpe,wr,pf
178,4.0,6,10,30,20,55,3.0,123,5.22,11.1,0.68,0.4065,1.17
179,4.0,6,10,30,30,40,3.0,103,13.54,6.79,1.59,0.4951,1.48
180,4.0,6,10,30,30,55,3.0,108,15.28,8.18,1.49,0.4444,1.45
181,4.0,6,10,50,20,40,3.0,103,28.48,11.07,1.86,0.4951,1.59
182,4.0,6,10,50,20,55,3.0,123,8.13,17.85,0.68,0.4065,1.17
183,4.0,6,10,50,30,40,3.0,103,22.99,11.07,1.59,0.4951,1.48
184,4.0,6,10,50,30,55,3.0,108,25.9,13.3,1.49,0.4444,1.45
185,4.0,6,15,30,20,40,3.0,92,15.04,6.79,1.61,0.5,1.59
186,4.0,6,15,30,20,55,3.0,112,-1.78,13.77,0.04,0.4107,0.99
187,4.0,6,15,30,30,40,3.0,90,12.14,6.79,1.37,0.5,1.48
188,4.0,6,15,30,30,55,3.0,93,13.15,7.81,1.39,0.4839,1.49
189,4.0,6,15,50,20,40,3.0,92,25.64,11.07,1.61,0.5,1.59
190,4.0,6,15,50,20,55,3.0,112,-3.49,22.08,0.04,0.4107,0.98
191,4.0,6,15,50,30,40,3.0,90,20.43,11.07,1.37,0.5,1.48
192,4.0,6,15,50,30,55,3.0,93,22.15,12.7,1.39,0.4839,1.49
193,4.0,8,5,30,20,40,3.0,123,5.3,7.24,0.9,0.5203,1.19
194,4.0,8,5,30,20,55,3.0,166,-1.48,12.99,0.15,0.4398,1.02
195,4.0,8,5,30,30,40,3.0,122,7.31,7.24,1.14,0.5328,1.25
196,4.0,8,5,30,30,55,3.0,147,1.73,9.03,0.44,0.4558,1.08
197,4.0,8,5,50,20,40,3.0,123,8.6,11.79,0.9,0.5203,1.18
198,4.0,8,5,50,20,55,3.0,166,-3.06,21.08,0.15,0.4398,1.01
199,4.0,8,5,50,30,40,3.0,122,12.08,11.79,1.14,0.5328,1.24
200,4.0,8,5,50,30,55,3.0,147,2.33,14.74,0.44,0.4558,1.07
201,4.0,8,10,30,20,40,3.0,92,16.54,7.94,1.71,0.4891,1.59
202,4.0,8,10,30,20,55,3.0,113,6.15,11.79,0.69,0.3451,1.18
203,4.0,8,10,30,30,40,3.0,92,15.65,7.94,1.64,0.4891,1.57
204,4.0,8,10,30,30,55,3.0,103,15.52,7.81,1.41,0.3883,1.44
205,4.0,8,10,50,20,40,3.0,92,28.33,12.89,1.71,0.4891,1.6
206,4.0,8,10,50,20,55,3.0,113,9.59,18.91,0.69,0.3451,1.17
207,4.0,8,10,50,30,40,3.0,92,26.71,12.89,1.64,0.4891,1.57
208,4.0,8,10,50,30,55,3.0,103,26.22,12.7,1.41,0.3883,1.43
209,4.0,8,15,30,20,40,3.0,84,16.61,7.94,1.54,0.4643,1.59
210,4.0,8,15,30,20,55,3.0,97,-5.95,15.51,-0.37,0.3402,0.88
211,4.0,8,15,30,30,40,3.0,82,16.93,7.94,1.56,0.4756,1.62
212,4.0,8,15,30,30,55,3.0,91,16.15,7.81,1.39,0.3956,1.5
213,4.0,8,15,50,20,40,3.0,84,28.32,12.89,1.54,0.4643,1.58
214,4.0,8,15,50,20,55,3.0,97,-10.3,24.76,-0.37,0.3402,0.86
215,4.0,8,15,50,30,40,3.0,82,28.91,12.89,1.56,0.4756,1.6
216,4.0,8,15,50,30,55,3.0,91,27.3,12.7,1.39,0.3956,1.48
